sales1_name,chan2_name,chan1_name,dma1_name,all_name,spend,decomp,max,cps,hl,hrf,wks
Consumer Savings - Total Balances,Paid Search,Retail Total,National,overall,195081.0631,10869168.11,597455,0.611073376,0.6,0.3,1
Consumer Savings - Total Balances,Television,Retail Total,National,overall,1293105.356,13847336.13,2514374.4,1,4,0.15,1
Consumer Savings - Total Balances,Online Video,Retail Total,National,overall,185947.9569,9317897.606,56460321,0.008429469,0.3,0.3,1
Consumer Savings - Total Balances,Online Display,Retail Total,National,overall,178465.2813,7957344.424,73974291,0.004165412,0.3,0.3,1
Consumer Savings - Total Balances,Magazine,Retail Total,National,overall,27241.04104,3017251.263,2086763,0.119977895,2,0.45,1
Consumer Savings - Total Balances,Direct Mail,Consumer,National,overall,1567480.208,85933797.16,14309581,0.563948789,3,0.45,1
Freedom Card - New Applications,Affiliates,Freedom,National,overall,197679.2917,8689.892292,80089,4.554955766,0.01,0.45,1
Ink Card - New Applications,Affiliates,Ink,National,overall,27171.54167,1368.376213,56262,1.72612936,0.01,0.15,1
Slate Card - New Applications,Affiliates,Slate,National,overall,65456.875,8586.012053,34434,2.326009916,5,0.45,1
Sapphire Card - New Applications,Affiliates,Sapphire,National,overall,37681.54167,3305.297433,30059,1.611003585,0.6,0.45,1
Slate Card - New Applications,Paid Search,Partner,National,overall,73581.60333,445.6078612,68065,1.804663089,3,0.15,1
Slate Card - New Applications,Online Display,Freedom,National,overall,78379.72854,211.9008971,80454855,0.008120951,0.6,0.3,1
Consumer Checking - New Checking Accounts,Online Display,Retail Total,National,overall,178465.2813,1051.316982,73974291,0.004165412,0.3,0.6,1
