"sales1_name","chan1_name","dma1_name","dma2_name"
"Product B","OOH","Los Angeles","Tier 2"
"Product B","OOH","New York","Tier 1"
"Product B","OOH","Philadelphia","Tier 1"
"Product B","OOH","Tampa","Tier 2"
"Product B","OOH","Washington, DC","Tier 2"
"Product B","Online Display","Albany","Tier 4"
"Product B","Online Display","Baltimore","Tier 3"
"Product B","Online Display","Boston","Tier 2"
"Product B","Online Display","Buffalo","Tier 4"
"Product B","Online Display","Dallas","Tier 3"
"Product B","Online Display","Harrisburg","Tier 4"
"Product B","Online Display","Los Angeles","Tier 2"
"Product B","Online Display","New York","Tier 1"
"Product B","Online Display","Norfolk","Tier 3"
"Product B","Online Display","Other","Tier 4"
"Product B","Online Display","Palm Springs","Tier 4"
"Product B","Online Display","Philadelphia","Tier 1"
"Product B","Online Display","Pittsburgh","Tier 3"
"Product B","Online Display","Providence","Tier 3"
"Product B","Online Display","Richmond","Tier 3"
"Product B","Online Display","Syracuse","Tier 4"
"Product B","Online Display","Tampa","Tier 2"
"Product B","Online Display","Washington, DC","Tier 2"
"Product B","Radio","Baltimore","Tier 3"
"Product B","Radio","Boston","Tier 2"
"Product B","Radio","Los Angeles","Tier 2"
"Product B","Radio","New York","Tier 1"
"Product B","Radio","Norfolk","Tier 3"
"Product B","Radio","Other","Tier 4"
"Product B","Radio","Palm Springs","Tier 4"
"Product B","Radio","Philadelphia","Tier 1"
"Product B","Radio","Pittsburgh","Tier 3"
"Product B","Radio","Providence","Tier 3"
"Product B","Radio","Richmond","Tier 3"
"Product B","Radio","Syracuse","Tier 4"
"Product B","Radio","Tampa","Tier 2"
"Product B","Radio","Washington, DC","Tier 2"
"Product B","TV Cable","Albany","Tier 4"
"Product B","TV Cable","Baltimore","Tier 3"
"Product B","TV Cable","Boston","Tier 2"
"Product B","TV Cable","Buffalo","Tier 4"
"Product B","TV Cable","Dallas","Tier 3"
"Product B","TV Cable","Harrisburg","Tier 4"
"Product B","TV Cable","Los Angeles","Tier 2"
"Product B","TV Cable","New York","Tier 1"
"Product B","TV Cable","Palm Springs","Tier 4"
"Product B","TV Cable","Philadelphia","Tier 1"
"Product B","TV Cable","Pittsburgh","Tier 3"
"Product B","TV Cable","Providence","Tier 3"
"Product B","TV Cable","Richmond","Tier 3"
"Product B","TV Cable","Syracuse","Tier 4"
