"bdgt_id","dma2_name","chan1_name","dma1_name","client_id","chan1_id","dma2_id","dma1_id","week_id","percent_max","sp_max_h","sp_min_h"
"26_14_344_23",NULL,NULL,NULL,12,26,14,344,23,NULL,NULL,NULL
"26_14_344_24",NULL,NULL,NULL,12,26,14,344,24,NULL,NULL,NULL
"26_14_344_25",NULL,NULL,NULL,12,26,14,344,25,NULL,NULL,NULL
"26_14_344_26",NULL,NULL,NULL,12,26,14,344,26,NULL,NULL,NULL
"26_14_344_27",NULL,NULL,NULL,12,26,14,344,27,NULL,NULL,NULL
"26_14_344_28",NULL,NULL,NULL,12,26,14,344,28,NULL,NULL,NULL
"26_14_344_29",NULL,NULL,NULL,12,26,14,344,29,NULL,NULL,NULL
"26_14_344_3",NULL,NULL,NULL,12,26,14,344,3,NULL,NULL,NULL
"26_14_344_30",NULL,NULL,NULL,12,26,14,344,30,NULL,NULL,NULL
"26_14_344_31",NULL,NULL,NULL,12,26,14,344,31,NULL,NULL,NULL
"26_14_344_32",NULL,NULL,NULL,12,26,14,344,32,NULL,NULL,NULL
"26_14_344_33",NULL,NULL,NULL,12,26,14,344,33,NULL,NULL,NULL
"26_14_344_34",NULL,NULL,NULL,12,26,14,344,34,NULL,NULL,NULL
"26_14_344_35",NULL,NULL,NULL,12,26,14,344,35,NULL,NULL,NULL
"26_14_344_36",NULL,NULL,NULL,12,26,14,344,36,NULL,NULL,NULL
"26_14_344_37",NULL,NULL,NULL,12,26,14,344,37,NULL,NULL,NULL
"26_14_344_38",NULL,NULL,NULL,12,26,14,344,38,NULL,NULL,NULL
"26_14_344_39",NULL,NULL,NULL,12,26,14,344,39,NULL,NULL,NULL
"26_14_344_4",NULL,NULL,NULL,12,26,14,344,4,NULL,NULL,NULL
"26_14_344_40",NULL,NULL,NULL,12,26,14,344,40,NULL,NULL,NULL
"26_14_344_41",NULL,NULL,NULL,12,26,14,344,41,NULL,NULL,NULL
"26_14_344_42",NULL,NULL,NULL,12,26,14,344,42,NULL,NULL,NULL
"26_14_344_43",NULL,NULL,NULL,12,26,14,344,43,NULL,NULL,NULL
"26_14_344_44",NULL,NULL,NULL,12,26,14,344,44,NULL,NULL,NULL
"26_14_344_45",NULL,NULL,NULL,12,26,14,344,45,NULL,NULL,NULL
"26_14_344_46",NULL,NULL,NULL,12,26,14,344,46,NULL,NULL,NULL
"26_14_344_47",NULL,NULL,NULL,12,26,14,344,47,NULL,NULL,NULL
"26_14_344_48",NULL,NULL,NULL,12,26,14,344,48,NULL,NULL,NULL
"26_14_344_49",NULL,NULL,NULL,12,26,14,344,49,NULL,NULL,NULL
"26_14_344_5",NULL,NULL,NULL,12,26,14,344,5,NULL,NULL,NULL
"26_14_344_50",NULL,NULL,NULL,12,26,14,344,50,NULL,NULL,NULL
"26_14_344_51",NULL,NULL,NULL,12,26,14,344,51,NULL,NULL,NULL
"26_14_344_52",NULL,NULL,NULL,12,26,14,344,52,NULL,NULL,NULL
"26_14_344_53",NULL,NULL,NULL,12,26,14,344,53,NULL,NULL,NULL
"26_14_344_6",NULL,NULL,NULL,12,26,14,344,6,NULL,NULL,NULL
"26_14_344_7",NULL,NULL,NULL,12,26,14,344,7,NULL,NULL,NULL
"26_14_344_8",NULL,NULL,NULL,12,26,14,344,8,NULL,NULL,NULL
"26_14_344_9",NULL,NULL,NULL,12,26,14,344,9,NULL,NULL,NULL
"26_15_345_0",NULL,NULL,NULL,12,26,15,345,0,NULL,NULL,NULL
"26_15_345_1",NULL,NULL,NULL,12,26,15,345,1,NULL,NULL,NULL
"26_15_345_10",NULL,NULL,NULL,12,26,15,345,10,NULL,NULL,NULL
"26_15_345_11",NULL,NULL,NULL,12,26,15,345,11,NULL,NULL,NULL
"26_15_345_12",NULL,NULL,NULL,12,26,15,345,12,NULL,NULL,NULL
"26_15_345_13",NULL,NULL,NULL,12,26,15,345,13,NULL,NULL,NULL
"26_15_345_14",NULL,NULL,NULL,12,26,15,345,14,NULL,NULL,NULL
"26_15_345_15",NULL,NULL,NULL,12,26,15,345,15,NULL,NULL,NULL
"26_15_345_16",NULL,NULL,NULL,12,26,15,345,16,NULL,NULL,NULL
"26_15_345_17",NULL,NULL,NULL,12,26,15,345,17,NULL,NULL,NULL
"26_15_345_18",NULL,NULL,NULL,12,26,15,345,18,NULL,NULL,NULL
"26_15_345_19",NULL,NULL,NULL,12,26,15,345,19,NULL,NULL,NULL
"26_15_345_2",NULL,NULL,NULL,12,26,15,345,2,NULL,NULL,NULL
"26_15_345_20",NULL,NULL,NULL,12,26,15,345,20,NULL,NULL,NULL
